Current Date,HCHO_value,City
2024-01-01,9.816497999842469e-05,Matara_proper
2024-01-02,9.148741334108491e-05,Matara_proper
2024-01-03,9.223241269005824e-05,Matara_proper
2024-01-04,9.301426294373284e-05,Matara_proper
2024-01-05,9.433487113536338e-05,Matara_proper
2024-01-06,9.680231629450453e-05,Matara_proper
2024-01-07,9.651567956588765e-05,Matara_proper
2024-01-08,9.691554581790799e-05,Matara_proper
2024-01-09,9.72989557274767e-05,Matara_proper
2024-01-10,9.772829746142009e-05,Matara_proper
2024-01-11,9.814606659757192e-05,Matara_proper
2024-01-12,9.82597917211037e-05,Matara_proper
2024-01-13,9.841809930453586e-05,Matara_proper
2024-01-14,9.855801357539696e-05,Matara_proper
2024-01-15,9.868579726005173e-05,Matara_proper
2024-01-16,9.878859613242054e-05,Matara_proper
2024-01-17,9.884954358696365e-05,Matara_proper
2024-01-18,9.890587471496034e-05,Matara_proper
2024-01-19,9.895320812952731e-05,Matara_proper
2024-01-20,9.899286572344687e-05,Matara_proper
2024-01-21,9.902397763175856e-05,Matara_proper
2024-01-22,9.904687389588758e-05,Matara_proper
2024-01-23,9.9066103657477e-05,Matara_proper
2024-01-24,9.908184582749344e-05,Matara_proper
2024-01-25,9.909463555194372e-05,Matara_proper
2024-01-26,9.910475204914731e-05,Matara_proper
2024-01-27,9.911267655522385e-05,Matara_proper
2024-01-28,9.911913844293567e-05,Matara_proper
2024-01-29,9.912436601678056e-05,Matara_proper
2024-01-30,9.912857355181916e-05,Matara_proper
2024-01-31,9.913192797389554e-05,Matara_proper
2024-02-01,9.913460275555225e-05,Matara_proper
2024-02-02,9.913676203821849e-05,Matara_proper
2024-02-03,9.913850033676891e-05,Matara_proper
2024-02-04,9.913989612219144e-05,Matara_proper
2024-02-05,9.914101343298597e-05,Matara_proper
2024-02-06,9.914190879456634e-05,Matara_proper
2024-02-07,9.91426290100475e-05,Matara_proper
2024-02-08,9.914320772509705e-05,Matara_proper
2024-02-09,9.91436722117752e-05,Matara_proper
2024-02-10,9.91440446764315e-05,Matara_proper
2024-02-11,9.914434354820824e-05,Matara_proper
2024-02-12,9.914458364255205e-05,Matara_proper
2024-02-13,9.914477643657906e-05,Matara_proper
2024-02-14,9.914493117774095e-05,Matara_proper
